Week,Day,Dinner Main,Dinner Protein,Dinner Acc1,Dinner Acc2,,,,,,
Week 1,Mon,Ragi Jowar Chapathi,Chicken curry,Cucumber Raita,,,?15.79,?99.86,?33.66,,?149.30
Week 1,Tue,Yuzu Corn Salad,,,,,?199.00,,,,?199.00
Week 1,Wed,Sour Dough Grilled Chicken and Avocado Sandwich,,,,,?349.00,,,,?349.00
Week 1,Thu,French Onion Grilled Cheese,Soyu egg,,,,?264.84,?49.00,,,?313.84
Week 1,Fri,Sour Dough Grilled Chicken and Avocado Sandwich,,,,,?349.00,,,,?349.00
Week 1,Sat,Pulled Chicken Caesar Salad,,,,,?399.00,,,,?399.00
Week 2,Mon,Furikake Avocado Toast with Jammy Eggs,,,,,?399.00,,,,?399.00
Week 2,Tue,French Onion Grilled Cheese,Soyu egg,,,,?264.84,?49.00,,,?313.84
Week 2,Wed,Sour Dough Grilled Chicken and Avocado Sandwich,,,,,?349.00,,,,?349.00
Week 2,Thu,Ragi Jowar Chapathi,Chicken curry,Mixed Vegetable Thoran,,,?15.79,?99.86,?19.85,,?135.50
Week 2,Fri,Pulled Chicken Caesar Salad,,,,,?399.00,,,,?399.00
Week 2,Sat,Ragi Chicken Collagen Broth,,,,,?149.00,,,,?149.00
Week 3,Mon,Pulled Chicken Caesar Salad,,,,,?399.00,,,,?399.00
Week 3,Tue,Sour Dough Grilled Chicken and Avocado Sandwich,,,,,?349.00,,,,?349.00
Week 3,Wed,Yuzu Corn Salad,,,,,?199.00,,,,?199.00
Week 3,Thu,Ragi Chicken Collagen Broth,,,,,?149.00,,,,?149.00
Week 3,Fri,Protein Chicken Collagen Millet Kanji,,Chutney,Mixed Vegetable Thoran,,?199.00,,?14.57,?19.85,?233.42
Week 3,Sat,Mesclun Quinoa Salad,,,,,?299.00,,,,?299.00
Week 4,Mon,Furikake Avocado Toast with Jammy Eggs,,,,,?399.00,,,,?399.00
Week 4,Tue,Mesclun Quinoa Salad,,,,,?299.00,,,,?299.00
Week 4,Wed,Ragi Chicken Collagen Broth,,,,,?149.00,,,,?149.00
Week 4,Thu,Pulled Chicken Caesar Salad,,,,,?399.00,,,,?399.00
Week 4,Fri,Protein Chicken Collagen Millet Kanji,,Chutney,Mixed Vegetable Thoran,,?199.00,,?14.57,?19.85,?233.42
Week 4,Sat,Ragi Jowar Chapathi,Chicken curry,Mixed Vegetable Thoran,,,?15.79,?99.86,?19.85,,?135.50
,,,,,,,,,,,"?6,747.83"
