Week,Day,Lunch Main,Lunch Protein,Lunch Acc1,Lunch Acc2,,,,,,
Week 1,Mon,Pulled Chicken Caesar Salad,,,,,?399.00,,,,?399.00
Week 1,Tue,French Onion Grilled Cheese,Herbs Marinated Chicken Breast,,,,?264.84,?299.00,,,?563.84
Week 1,Wed,Yuzu Corn Salad,Soyu egg,,,,?199.00,?49.00,,,?248.00
Week 1,Thu,Ragi Jowar Chapathi,Chicken curry,Mixed Vegetable Thoran,,,?15.79,?99.86,?19.85,,?135.50
Week 1,Fri,Protein Chicken Collagen Millet Kanji,,Chutney,Mixed Vegetable Thoran,,?199.00,,?14.57,?19.85,?233.42
Week 1,Sat,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,,,,?399.00,?249.00,,,?648.00
Week 2,Mon,Pulled Chicken Caesar Salad,,,,,?399.00,,,,?399.00
Week 2,Tue,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,,?448.00
Week 2,Wed,Protein Chicken Collagen Millet Kanji,,Chutney,Mixed Vegetable Thoran,,?199.00,,?14.57,?19.85,?233.42
Week 2,Thu,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,,,,?399.00,?249.00,,,?648.00
Week 2,Fri,Ragi Jowar Chapathi,Chicken curry,Cucumber Raita,,,?15.79,?99.86,?33.66,,?149.30
Week 2,Sat,Sour Dough Grilled Chicken and Avocado Sandwich,,,,,?349.00,,,,?349.00
Week 3,Mon,Protein Chicken Collagen Millet Kanji,,Chutney,Mixed Vegetable Thoran,,?199.00,,?14.57,?19.85,?233.42
Week 3,Tue,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,,,,?299.00,?299.00,,,?598.00
Week 3,Wed,Furikake Avocado Toast with Jammy Eggs,,,,,?399.00,,,,?399.00
Week 3,Thu,Ragi Jowar Chapathi,Chicken curry,Mixed Vegetable Thoran,,,?15.79,?99.86,?19.85,,?135.50
Week 3,Fri,Yuzu Corn Salad,Herbs Marinated Chicken Breast,,,,?199.00,?299.00,,,?498.00
Week 3,Sat,French Onion Grilled Cheese,Soyu egg,,,,?264.84,?49.00,,,?313.84
Week 4,Mon,Ragi Jowar Chapathi,Chicken curry,Cucumber Raita,,,?15.79,?99.86,?33.66,,?149.30
Week 4,Tue,Protein Chicken Collagen Millet Kanji,,Chutney,Mixed Vegetable Thoran,,?199.00,,?14.57,?19.85,?233.42
Week 4,Wed,French Onion Grilled Cheese,Soyu egg,,,,?264.84,?49.00,,,?313.84
Week 4,Thu,Furikake Avocado Toast with Jammy Eggs,Herbs Marinated Chicken Breast,,,,?399.00,?299.00,,,?698.00
Week 4,Fri,Pulled Chicken Caesar Salad,,,,,?399.00,,,,?399.00
Week 4,Sat,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,,,,?299.00,?299.00,,,?598.00
,,,,,,,,,,,"?9,023.81"
