Week,Day,Dinner Main,Dinner Protein,Accompaniment,,,,,,,,
Week 1,Mon,Ragi Jowar Chapathi,Paneer Butter Masala,Mixed Vegetable Thoran,,,?15.79,?158.87,?19.85,?194.51,,
Week 1,Tue,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 1,Wed,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00,,
Week 1,Thu,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 1,Fri,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00,,
Week 1,Sat,French Onion Grilled Cheese,Steamed Edamame,,,,?264.84,?249.00,,?513.84,,
Week 2,Mon,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 2,Tue,Yuzu Corn Salad,Steamed Edamame,,,,?199.00,?249.00,,?448.00,,
Week 2,Wed,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 2,Thu,Vegetable millet broth,Paneer grilled,,,,?78.62,?249.00,,?327.62,,
Week 2,Fri,French Onion Grilled Cheese,Paneer grilled,,,,?264.84,?249.00,,?513.84,,
Week 2,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Cucumber Raita,,,?15.79,?158.87,?33.66,?208.32,,
Week 3,Mon,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00,,
Week 3,Tue,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 3,Wed,French Onion Grilled Cheese,Steamed Edamame,,,,?264.84,?249.00,,?513.84,,
Week 3,Thu,Vegetable millet broth,Paneer grilled,,,,?78.62,?249.00,,?327.62,,
Week 3,Fri,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 3,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Mixed Vegetable Thoran,,,?15.79,?158.87,?19.85,?194.51,,
Week 4,Mon,Vegetable millet broth,Paneer grilled,,,,?78.62,?249.00,,?327.62,,
Week 4,Tue,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 4,Wed,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00,,
Week 4,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Cucumber Raita,,,?15.79,?158.87,?33.66,?208.32,,
Week 4,Fri,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00,,
Week 4,Sat,Yuzu Corn Salad,Steamed Edamame,,,,?199.00,?249.00,,?448.00,,
,,,,,,,,,,"?10,402.06",,
