Week,Day,Lunch Main,Lunch Protein,Accompaniment,,,,,,
Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 1,Tue,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00
Week 1,Wed,French Onion Grilled Cheese,Steamed Edamame,,,,?264.84,?249.00,,?513.84
Week 1,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Cucumber Raita,,,?15.79,?158.87,?33.66,?208.32
Week 1,Fri,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 1,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Mixed Vegetable Thoran,,,?15.79,?158.87,?19.85,?194.51
Week 2,Mon,French Onion Grilled Cheese,Steamed Edamame,,,,?264.84,?249.00,,?513.84
Week 2,Tue,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 2,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,Mixed Vegetable Thoran,,,?15.79,?158.87,?19.85,?194.51
Week 2,Thu,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00
Week 2,Fri,Ragi Jowar Chapathi,Paneer Butter Masala,Cucumber Raita,,,?15.79,?158.87,?33.66,?208.32
Week 2,Sat,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 3,Mon,French Onion Grilled Cheese,Steamed Edamame,,,,?264.84,?249.00,,?513.84
Week 3,Tue,Ragi Jowar Chapathi,Paneer Butter Masala,Mixed Vegetable Thoran,,,?15.79,?158.87,?19.85,?194.51
Week 3,Wed,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00
Week 3,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Cucumber Raita,,,?15.79,?158.87,?33.66,?208.32
Week 3,Fri,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 3,Sat,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 4,Mon,Furikake Avocado Toast,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 4,Tue,Yuzu Corn Salad,Paneer grilled,,,,?199.00,?249.00,,?448.00
Week 4,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,Mixed Vegetable Thoran,,,?15.79,?158.87,?19.85,?194.51
Week 4,Thu,French Onion Grilled Cheese,Paneer grilled,,,,?264.84,?249.00,,?513.84
Week 4,Fri,Mesclun Quinoa Salad,Paneer grilled,,,,?299.00,?249.00,,?548.00
Week 4,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Cucumber Raita,,,?15.79,?158.87,?33.66,?208.32
,,,,,,,,,,"?9,842.70"
