Week,Day,Dinner Main,Dinner Protein,Dinner Acc1,Dinner Acc2,Dinner Acc3,,,,,,,
Week 1,Mon,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber Raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
Week 1,Tue,Yuzu Corn Salad,Steamed Edamame,,,,,?199.00,?249.00,,,,?448.00
Week 1,Wed,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,,,,,?299.00,?299.00,,,,?598.00
Week 1,Thu,Ragi Chicken Collagen Broth,Soyu egg,Shirazi salad,,,,?149.00,?49.00,?131.70,,,?329.70
Week 1,Fri,Mesclun Quinoa Salad,Paneer grilled,,,,,?299.00,?249.00,,,,?548.00
Week 1,Sat,Pulled Chicken Caesar Salad,,,,,,?399.00,,,,,?399.00
Week 2,Mon,Ragi Chicken Collagen Broth,Paneer grilled,Shirazi salad,,,,?149.00,?249.00,?131.70,,,?529.70
Week 2,Tue,Protein Chicken Collagen Millet Kanji,Omlet,Chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?349.00,?607.42
Week 2,Wed,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,,,,,?299.00,?299.00,,,,?598.00
Week 2,Thu,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber Raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
Week 2,Fri,Pulled Chicken Caesar Salad,,,,,,?399.00,,,,,?399.00
Week 2,Sat,Ragi Chicken Collagen Broth,Steamed Edamame,Shirazi salad,,,,?149.00,?249.00,?131.70,,,?529.70
Week 3,Mon,Pulled Chicken Caesar Salad,,,,,,?399.00,,,,,?399.00
Week 3,Tue,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber Raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
Week 3,Wed,Yuzu Corn Salad,Herbs Marinated Chicken Breast,,,,,?199.00,?299.00,,,,?498.00
Week 3,Thu,Vegetable millet broth,Herbs Marinated Chicken Breast,Shirazi salad,,,,?78.62,?299.00,?131.70,,,?509.32
Week 3,Fri,Protein Chicken Collagen Millet Kanji,Omlet,Chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?349.00,?607.42
Week 3,Sat,Mesclun Quinoa Salad,Soyu egg,,,,,?299.00,?49.00,,,,?348.00
Week 4,Mon,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,,,,,?299.00,?299.00,,,,?598.00
Week 4,Tue,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,,,,,?299.00,?299.00,,,,?598.00
Week 4,Wed,Vegetable millet broth,Paneer grilled,Shirazi salad,,,,?78.62,?249.00,?131.70,,,?459.32
Week 4,Thu,Pulled Chicken Caesar Salad,,,,,,?399.00,,,,,?399.00
Week 4,Fri,Protein Chicken Collagen Millet Kanji,Omlet,Chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?349.00,?607.42
Week 4,Sat,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber Raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
,,,,,,,,,,,,,"?11,282.64"
