Week,Day,Lunch Main,Lunch Protein,Lunch Acc1,Lunch Acc2,Lunch Acc3,,,,,,,
Week 1,Mon,Pulled Chicken Caesar Salad,,Cut fruits,,,,?399.00,,?49.00,,,?448.00
Week 1,Tue,French Onion Grilled Cheese,Herbs Marinated Chicken Breast,Cut fruits,,,,?264.84,?299.00,?49.00,,,?612.84
Week 1,Wed,Yuzu Corn Salad,Soyu egg,Cut fruits,,,,?199.00,?49.00,?49.00,,,?297.00
Week 1,Thu,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
Week 1,Fri,Protein Chicken Collagen Millet Kanji,Omlet,Chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?349.00,?607.42
Week 1,Sat,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,,,,?399.00,?249.00,?49.00,,,?697.00
Week 2,Mon,Pulled Chicken Caesar Salad,,Cut fruits,,,,?399.00,,?49.00,,,?448.00
Week 2,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,,,,?199.00,?249.00,?49.00,,,?497.00
Week 2,Wed,Protein Chicken Collagen Millet Kanji,Omlet,Chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?349.00,?607.42
Week 2,Thu,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,,,,?399.00,?249.00,?49.00,,,?697.00
Week 2,Fri,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
Week 2,Sat,Sour Dough Grilled Chicken and Avocado Sandwich,,Cut fruits,,,,?349.00,,?49.00,,,?398.00
Week 3,Mon,Protein Chicken Collagen Millet Kanji,Omlet,Chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?349.00,?607.42
Week 3,Tue,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,Cut fruits,,,,?299.00,?299.00,?49.00,,,?647.00
Week 3,Wed,Furikake Avocado Toast with Jammy Eggs,,Shirazi salad,,,,?399.00,,?131.70,,,?530.70
Week 3,Thu,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
Week 3,Fri,Yuzu Corn Salad,,Cut fruits,,,,?199.00,,?49.00,,,?248.00
Week 3,Sat,French Onion Grilled Cheese,,Cut fruits,,,,?264.84,,?49.00,,,?313.84
Week 4,Mon,Ragi Jowar Chapathi,Chicken curry,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?99.86,?149.00,?19.85,?33.66,?318.16
Week 4,Tue,Protein Chicken Collagen Millet Kanji,Omlet,Chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?349.00,?607.42
Week 4,Wed,French Onion Grilled Cheese,Soyu egg,Shirazi salad,,,,?264.84,?49.00,?131.70,,,?445.54
Week 4,Thu,Furikake Avocado Toast with Jammy Eggs,Herbs Marinated Chicken Breast,Cut fruits,,,,?399.00,?299.00,?49.00,,,?747.00
Week 4,Fri,Pulled Chicken Caesar Salad,,Cut fruits,,,,?399.00,,?49.00,,,?448.00
Week 4,Sat,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,Cut fruits,,,,?299.00,?299.00,?49.00,,,?647.00
,,,,,,,,,,,,,"?11,824.24"
