Week,Day,Dinner Main,Dinner Protein,Dinner Acc1,Dinner Acc2,Dinner Acc3,,,,,,,
Week 1,Mon,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 1,Tue,Vegetable millet broth,Steamed Edamame,Shirazi salad,,,,?78.62,?249.00,?131.70,,,?459.32
Week 1,Wed,Yuzu Corn Salad,Paneer grilled,,,,,?199.00,?249.00,,,,?448.00
Week 1,Thu,Mesclun Quinoa Salad,Paneer grilled,,,,,?299.00,?249.00,,,,?548.00
Week 1,Fri,Yuzu Corn Salad,Steamed Edamame,,,,,?199.00,?249.00,,,,?448.00
Week 1,Sat,Vegetable millet broth,Steamed Edamame,Shirazi salad,,,,?78.62,?249.00,?131.70,,,?459.32
Week 2,Mon,Mesclun Quinoa Salad,Paneer grilled,,,,,?299.00,?249.00,,,,?548.00
Week 2,Tue,Yuzu Corn Salad,Steamed Edamame,,,,,?199.00,?249.00,,,,?448.00
Week 2,Wed,Mesclun Quinoa Salad,Paneer grilled,,,,,?299.00,?249.00,,,,?548.00
Week 2,Thu,Vegetable millet broth,Steamed Edamame,Shirazi salad,,,,?78.62,?249.00,?131.70,,,?459.32
Week 2,Fri,Yuzu Corn Salad,Paneer grilled,,,,,?199.00,?249.00,,,,?448.00
Week 2,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 3,Mon,Yuzu Corn Salad,Paneer grilled,,,,,?199.00,?249.00,,,,?448.00
Week 3,Tue,Mesclun Quinoa Salad,Paneer grilled,,,,,?299.00,?249.00,,,,?548.00
Week 3,Wed,Yuzu Corn Salad,Steamed Edamame,,,,,?199.00,?249.00,,,,?448.00
Week 3,Thu,Vegetable millet broth,Paneer grilled,Shirazi salad,,,,?78.62,?249.00,?131.70,,,?459.32
Week 3,Fri,Yuzu Corn Salad,Steamed Edamame,,,,,?199.00,?249.00,,,,?448.00
Week 3,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 4,Mon,Vegetable millet broth,Steamed Edamame,Shirazi salad,,,,?78.62,?249.00,?131.70,,,?459.32
Week 4,Tue,Mesclun Quinoa Salad,Paneer grilled,,,,,?299.00,?249.00,,,,?548.00
Week 4,Wed,Yuzu Corn Salad,Paneer grilled,,,,,?199.00,?249.00,,,,?448.00
Week 4,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 4,Fri,Vegetable millet broth,Steamed Edamame,Shirazi salad,,,,?78.62,?249.00,?131.70,,,?459.32
Week 4,Sat,Yuzu Corn Salad,Steamed Edamame,,,,,?199.00,?249.00,,,,?448.00
,,,,,,,,,,,,,"?11,036.64"
