Week,Day,Lunch Main,Lunch Protein,Lunch Acc1,Lunch Acc2,Lunch Acc3,,,,,,,
Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,,?299.00,?249.00,?49.00,,,?597.00
Week 1,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,,,,?199.00,?249.00,?49.00,,,?497.00
Week 1,Wed,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,,,,?264.84,?249.00,?131.70,,,?645.54
Week 1,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 1,Fri,Furikake Avocado Toast,Paneer grilled,Shirazi salad,,,,?299.00,?249.00,?131.70,,,?679.70
Week 1,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 2,Mon,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,,,,?264.84,?249.00,?131.70,,,?645.54
Week 2,Tue,Furikake Avocado Toast,Paneer grilled,Cut fruits,,,,?299.00,?249.00,?49.00,,,?597.00
Week 2,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 2,Thu,Yuzu Corn Salad,Paneer grilled,Cut fruits,,,,?199.00,?249.00,?49.00,,,?497.00
Week 2,Fri,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 2,Sat,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,,?299.00,?249.00,?49.00,,,?597.00
Week 3,Mon,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,,,,?264.84,?249.00,?131.70,,,?645.54
Week 3,Tue,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 3,Wed,Yuzu Corn Salad,Paneer grilled,Cut fruits,,,,?199.00,?249.00,?49.00,,,?497.00
Week 3,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 3,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,,?299.00,?249.00,?49.00,,,?597.00
Week 3,Sat,Furikake Avocado Toast,Paneer grilled,Cut fruits,,,,?299.00,?249.00,?49.00,,,?597.00
Week 4,Mon,Furikake Avocado Toast,Paneer grilled,Shirazi salad,,,,?299.00,?249.00,?131.70,,,?679.70
Week 4,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,,,,?199.00,?249.00,?49.00,,,?497.00
Week 4,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
Week 4,Thu,French Onion Grilled Cheese,Paneer grilled,Cut fruits,,,,?264.84,?249.00,?49.00,,,?562.84
Week 4,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,,?299.00,?249.00,?49.00,,,?597.00
Week 4,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor Dal Fry,Mixed Vegetable Thoran,Cucumber raita,,?15.79,?158.87,?149.00,?19.85,?33.66,?377.17
,,,,,,,,,,,,,"?12,446.27"
