Week,Day,Lunch Main,Lunch Protein,Lunch Acc1,Lunch Acc2,Lunch Acc3,,,,,,,
Week 1,Mon,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,,?399.00,,?49.00,?249.00,?49.00,?746.00
Week 1,Tue,French Onion Grilled Cheese,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?264.84,?299.00,?49.00,?99.00,?49.00,?760.84
Week 1,Wed,Yuzu Corn Salad,Soyu egg,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?199.00,?49.00,?49.00,?99.00,?49.00,?445.00
Week 1,Thu,Ragi Jowar Chapathi Chicken meal combo,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?99.86,?149.00,?19.85,?33.66,?651.37
Week 1,Fri,Protein Chicken Collagen Millet Kanji,Omlet,chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?49.00,?307.42
Week 1,Sat,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?399.00,?249.00,?49.00,?99.00,?49.00,?845.00
Week 2,Mon,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,,?399.00,,?49.00,?249.00,?49.00,?746.00
Week 2,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00
Week 2,Wed,Protein Chicken Collagen Millet Kanji,Omlet,chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?49.00,?307.42
Week 2,Thu,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?399.00,?249.00,?49.00,?99.00,?49.00,?845.00
Week 2,Fri,Ragi Jowar Chapathi Chicken meal combo,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?99.86,?149.00,?19.85,?33.66,?651.37
Week 2,Sat,Sour Dough Grilled Chicken and Avocado Sandwich,,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?349.00,,?49.00,?99.00,?49.00,?546.00
Week 3,Mon,Protein Chicken Collagen Millet Kanji,Omlet,chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?49.00,?307.42
Week 3,Tue,Mesclun Quinoa Salad,,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?299.00,,?49.00,?99.00,?49.00,?496.00
Week 3,Wed,Furikake Avocado Toast with Jammy Eggs,,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?399.00,,?131.70,?99.00,?49.00,?678.70
Week 3,Thu,Ragi Jowar Chapathi Chicken meal combo,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?99.86,?149.00,?19.85,?33.66,?651.37
Week 3,Fri,Yuzu Corn Salad,,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?199.00,,?49.00,?99.00,?49.00,?396.00
Week 3,Sat,French Onion Grilled Cheese,,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?264.84,,?49.00,?99.00,?49.00,?461.84
Week 4,Mon,Ragi Jowar Chapathi Chicken meal combo,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?99.86,?149.00,?19.85,?33.66,?651.37
Week 4,Tue,Protein Chicken Collagen Millet Kanji,Omlet,chutney,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,,?199.00,?25.00,?14.57,?19.85,?49.00,?307.42
Week 4,Wed,French Onion Grilled Cheese,Soyu egg,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?49.00,?131.70,?99.00,?49.00,?593.54
Week 4,Thu,Furikake Avocado Toast with Jammy Eggs,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?399.00,?299.00,?49.00,?99.00,?49.00,?895.00
Week 4,Fri,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,,?399.00,,?49.00,?249.00,?49.00,?746.00
Week 4,Sat,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?299.00,?299.00,?49.00,?99.00,?49.00,?795.00
,,,,,,,,,,,,,"?14,626.09"
