Week,Day,Dinner Main,Dinner Protein,Dinner Acc1,Dinner Acc2,Dinner Acc3,,,,,,,,,
Week 1,Mon,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39,,
Week 1,Tue,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?131.70,?99.00,?49.00,?827.70,,
Week 1,Wed,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00,,
Week 1,Thu,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?49.00,?99.00,?49.00,?745.00,,
Week 1,Fri,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00,,
Week 1,Sat,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?249.00,?131.70,?99.00,?49.00,?793.54,,
Week 2,Mon,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?299.00,?249.00,?49.00,?249.00,?49.00,?895.00,,
Week 2,Tue,Yuzu Corn Salad,Steamed Edamame,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?199.00,?249.00,?49.00,?99.00,?49.00,?645.00,,
Week 2,Wed,Furikake Avocado Toast,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?299.00,?249.00,?49.00,?249.00,?49.00,?895.00,,
Week 2,Thu,Vegetable millet broth,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?78.62,?249.00,?131.70,?99.00,?49.00,?607.32,,
Week 2,Fri,French Onion Grilled Cheese,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?264.84,?249.00,?49.00,?249.00,?49.00,?860.84,,
Week 2,Sat,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39,,
Week 3,Mon,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00,,
Week 3,Tue,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?49.00,?99.00,?49.00,?745.00,,
Week 3,Wed,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?249.00,?131.70,?99.00,?49.00,?793.54,,
Week 3,Thu,Vegetable millet broth,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?78.62,?249.00,?131.70,?99.00,?49.00,?607.32,,
Week 3,Fri,Furikake Avocado Toast,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?299.00,?249.00,?49.00,?249.00,?49.00,?895.00,,
Week 3,Sat,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39,,
Week 4,Mon,Vegetable millet broth,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?78.62,?249.00,?49.00,?249.00,?49.00,?674.62,,
Week 4,Tue,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?49.00,?99.00,?49.00,?745.00,,
Week 4,Wed,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00,,
Week 4,Thu,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39,,
Week 4,Fri,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Roasted sweet potato,Maple Togarashi Spiced Nuts,,?299.00,?249.00,?131.70,?99.00,?49.00,?827.70,,
Week 4,Sat,Yuzu Corn Salad,Steamed Edamame,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?199.00,?249.00,?49.00,?99.00,?49.00,?645.00,,
,,,,,,,,,,,,,"?18,224.14",,
