Week,Day,Lunch Main,Lunch Protein,Lunch Acc1,Lunch Acc2,Lunch Acc3,,,,,,,
Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?49.00,?99.00,?49.00,?745.00
Week 1,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00
Week 1,Wed,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?249.00,?131.70,?99.00,?49.00,?793.54
Week 1,Thu,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
Week 1,Fri,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?131.70,?99.00,?49.00,?827.70
Week 1,Sat,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
Week 2,Mon,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?249.00,?131.70,?99.00,?49.00,?793.54
Week 2,Tue,Furikake Avocado Toast,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?299.00,?249.00,?49.00,?249.00,?49.00,?895.00
Week 2,Wed,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
Week 2,Thu,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00
Week 2,Fri,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
Week 2,Sat,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?299.00,?249.00,?49.00,?249.00,?49.00,?895.00
Week 3,Mon,French Onion Grilled Cheese,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?264.84,?249.00,?131.70,?99.00,?49.00,?793.54
Week 3,Tue,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
Week 3,Wed,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00
Week 3,Thu,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
Week 3,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?49.00,?99.00,?49.00,?745.00
Week 3,Sat,Furikake Avocado Toast,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?299.00,?249.00,?49.00,?249.00,?49.00,?895.00
Week 4,Mon,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?131.70,?99.00,?49.00,?827.70
Week 4,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?199.00,?249.00,?49.00,?249.00,?49.00,?795.00
Week 4,Wed,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
Week 4,Thu,French Onion Grilled Cheese,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,,?264.84,?249.00,?49.00,?249.00,?49.00,?860.84
Week 4,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,,?299.00,?249.00,?49.00,?99.00,?49.00,?745.00
Week 4,Sat,Ragi Jowar Chapathi Chicken meal combo,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,,?349.00,?158.87,?149.00,?19.85,?33.66,?710.39
,,,,,,,,,,,,,"?18,679.96"
