Week,Day,Smoothie,Gut Booster,,,,
Week 1,Mon,Mint Pineapple Spinach Smoothie,Beetroot Carrot Kanji,,?159.00,?59.00,?218.00
Week 1,Tue,Chia Protein Smoothie Chocolate,Masala Chaas,,?199.00,?99.00,?298.00
Week 1,Wed,CBP Protein Smoothie,Pineapple Gut Booster Tepache,,?299.00,?59.00,?358.00
Week 1,Thu,Chia Peanut Butter Protein Smoothie,Amla Turmeric Kanji,,?349.00,?59.00,?408.00
Week 1,Fri,ABC Smoothie,Beetroot Carrot Kanji,,?199.00,?59.00,?258.00
Week 1,Sat,Mint Pineapple Spinach Smoothie,Masala Chaas,,?159.00,?99.00,?258.00
Week 2,Mon,Chia Protein Smoothie Chocolate,Masala Chaas,,?199.00,?99.00,?298.00
Week 2,Tue,CBP Protein Smoothie,Pineapple Gut Booster Tepache,,?299.00,?59.00,?358.00
Week 2,Wed,Chia Peanut Butter Protein Smoothie,Amla Turmeric Kanji,,?349.00,?59.00,?408.00
Week 2,Thu,ABC Smoothie,Beetroot Carrot Kanji,,?199.00,?59.00,?258.00
Week 2,Fri,Mint Pineapple Spinach Smoothie,Masala Chaas,,?159.00,?99.00,?258.00
Week 2,Sat,Chia Protein Smoothie Chocolate,Pineapple Gut Booster Tepache,,?199.00,?59.00,?258.00
Week 3,Mon,CBP Protein Smoothie,Pineapple Gut Booster Tepache,,?299.00,?59.00,?358.00
Week 3,Tue,Chia Peanut Butter Protein Smoothie,Amla Turmeric Kanji,,?349.00,?59.00,?408.00
Week 3,Wed,ABC Smoothie,Beetroot Carrot Kanji,,?199.00,?59.00,?258.00
Week 3,Thu,Mint Pineapple Spinach Smoothie,Masala Chaas,,?159.00,?99.00,?258.00
Week 3,Fri,Chia Protein Smoothie Chocolate,Pineapple Gut Booster Tepache,,?199.00,?59.00,?258.00
Week 3,Sat,CBP Protein Smoothie,Amla Turmeric Kanji,,?299.00,?59.00,?358.00
Week 4,Mon,Chia Peanut Butter Protein Smoothie,Amla Turmeric Kanji,,?349.00,?59.00,?408.00
Week 4,Tue,ABC Smoothie,Beetroot Carrot Kanji,,?199.00,?59.00,?258.00
Week 4,Wed,Mint Pineapple Spinach Smoothie,Masala Chaas,,?159.00,?99.00,?258.00
Week 4,Thu,Chia Protein Smoothie Chocolate,Pineapple Gut Booster Tepache,,?199.00,?59.00,?258.00
Week 4,Fri,CBP Protein Smoothie,Amla Turmeric Kanji,,?299.00,?59.00,?358.00
Week 4,Sat,Chia Peanut Butter Protein Smoothie,Beetroot Carrot Kanji,,?349.00,?59.00,?408.00
,,,,,,,"?7,482.00"
