Plan,Data.Column1,Data.Column2,Data.Column3,Data.Column4,Data.Column5,Data.Column6,Data.Column7,Calories,Protein,Carbohydrates,Fats,Fiber
Elite-Veg Plan-Lunch,Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,982,41,75,65,14
Elite-Veg Plan-Lunch,Week 1,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,797,36,58,54,10
Elite-Veg Plan-Lunch,Week 1,Wed,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,982,41,75,65,14
Elite-Veg Plan-Lunch,Week 1,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 1,Fri,Furikake Avocado Toast,Steamed Edamame,Cut fruits,Roasted sweet potato,Crunchy Nut mix,837,27,100,41,26
Elite-Veg Plan-Lunch,Week 1,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 2,Mon,Yuzu Corn Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,862,35,68,57,12
Elite-Veg Plan-Lunch,Week 2,Tue,Furikake Avocado Toast,Steamed Edamame,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,772,28,90,38,24
Elite-Veg Plan-Lunch,Week 2,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 2,Thu,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,797,36,58,54,10
Elite-Veg Plan-Lunch,Week 2,Fri,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 2,Sat,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,917,42,65,62,12
Elite-Veg Plan-Lunch,Week 3,Mon,Furikake Avocado Toast,Steamed Edamame,Cut fruits,Roasted sweet potato,Crunchy Nut mix,837,27,100,41,26
Elite-Veg Plan-Lunch,Week 3,Tue,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 3,Wed,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,797,36,58,54,10
Elite-Veg Plan-Lunch,Week 3,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 3,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,982,41,75,65,14
Elite-Veg Plan-Lunch,Week 3,Sat,Furikake Avocado Toast,Steamed Edamame,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,772,28,90,38,24
Elite-Veg Plan-Lunch,Week 4,Mon,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 4,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,797,36,58,54,10
Elite-Veg Plan-Lunch,Week 4,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Lunch,Week 4,Thu,Furikake Avocado Toast,Steamed Edamame,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,772,28,90,38,24
Elite-Veg Plan-Lunch,Week 4,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix,982,41,75,65,14
Elite-Veg Plan-Lunch,Week 4,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Dinner,Week 1,Mon,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Dinner,Week 1,Tue,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,1165,47,103,70,25
Elite-Veg Plan-Dinner,Week 1,Wed,Yuzu Corn Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Maple Togarashi Spiced Nuts,859,37,67,56,12
Elite-Veg Plan-Dinner,Week 1,Thu,Mesclun Quinoa Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Crunchy Nut mix,993,44,73,66,14
Elite-Veg Plan-Dinner,Week 1,Fri,Yuzu Corn Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Maple Togarashi Spiced Nuts,859,37,67,56,12
Elite-Veg Plan-Dinner,Week 1,Sat,Furikake Avocado Toast,Steamed Edamame,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,829,27,97,41,25
Elite-Veg Plan-Dinner,Week 2,Mon,Mesclun Quinoa Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Maple Togarashi Spiced Nuts,979,43,74,64,14
Elite-Veg Plan-Dinner,Week 2,Tue,Yuzu Corn Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Crunchy Nut mix,873,38,65,58,12
Elite-Veg Plan-Dinner,Week 2,Wed,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,1100,48,93,67,23
Elite-Veg Plan-Dinner,Week 2,Thu,Vegetable millet broth,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,714,34,54,48,11
Elite-Veg Plan-Dinner,Week 2,Fri,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,1100,48,93,67,23
Elite-Veg Plan-Dinner,Week 2,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Dinner,Week 3,Mon,Yuzu Corn Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Maple Togarashi Spiced Nuts,859,37,67,56,12
Elite-Veg Plan-Dinner,Week 3,Tue,Mesclun Quinoa Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Crunchy Nut mix,993,44,73,66,14
Elite-Veg Plan-Dinner,Week 3,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Dinner,Week 3,Thu,Vegetable millet broth,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,714,34,54,48,11
Elite-Veg Plan-Dinner,Week 3,Fri,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,1100,48,93,67,23
