record_type,id,name,category,meal_type,image_url,price,status,billing_mode,source
dish,DISH-CUT-FRUITS,Cut fruits,Accompaniments,Lunch,,TBD,live,,dishes.csv
dish,DISH-SHIRAZI-SALAD,Shirazi salad,Accompaniments,Dinner,,TBD,live,,dishes.csv
dish,DISH-ROASTED-SWEET-POTATO,Roasted sweet potato,Accompaniments,Lunch,,TBD,live,,dishes.csv
dish,DISH-CRUNCHY-NUT-MIX,Crunchy Nut mix,Accompaniments,Lunch,,TBD,live,,dishes.csv
dish,DISH-MAPLE-TOGARASHI-SPICED-NUTS,Maple Togarashi Spiced Nuts,Accompaniments,Dinner,,TBD,live,,dishes.csv
dish,DISH-PROTEIN-CHICKEN-COLLAGEN-MILLET-KANJI,Protein Chicken Collagen Millet Kanji,Combos,Lunch,,TBD,live,,dishes.csv
dish,DISH-PROTEIN-MILLET-KANJI-VEG-ADAPTED,Protein Millet Kanji (Veg Adapted),Combos,Lunch,,TBD,live,,dishes.csv
dish,DISH-RAGI-JOWAR-CHAPPATHI-COMBO,Ragi Jowar Chappathi combo,Combos,Dinner,,TBD,live,,dishes.csv
dish,DISH-ABC-SMOOTHIE,ABC Smoothie,Detox smoothies,Drink,,TBD,live,,dishes.csv
dish,DISH-MINT-PINEAPPLE-SPINACH-SMOOTHIE,Mint Pineapple Spinach Smoothie,Detox smoothies,Drink,,TBD,live,,dishes.csv
dish,DISH-MINT-SMOOTHIE,Mint Smoothie,Detox smoothies,Drink,,TBD,live,,dishes.csv
dish,DISH-MONKFRUIT-LEMONADE,Monkfruit lemonade,Detox smoothies,Drink,,TBD,live,,dishes.csv
dish,DISH-AMLA-TURMERIC-KANJI,Amla Turmeric Kanji,Gut boosters,,,TBD,live,,dishes.csv
dish,DISH-BEETROOT-CARROT-KANJI,Beetroot Carrot Kanji,Gut boosters,,,TBD,live,,dishes.csv
dish,DISH-BEETROOT-KANJI,Beetroot Kanji,Gut boosters,Drink,,TBD,live,,dishes.csv
dish,DISH-MASALA-CHAAS,Masala Chaas,Gut boosters,Drink,,TBD,live,,dishes.csv
dish,DISH-PINEAPPLE-GUT-BOOSTER-TEPACHE,Pineapple Gut Booster Tepache,Gut boosters,Drink,,TBD,live,,dishes.csv
dish,DISH-AMLA-KANJI,Amla Kanji,Menu,Drink,,TBD,live,,dishes.csv
dish,DISH-CHIA-PB-SMOOTHIE-MR,Chia PB Smoothie (MR),Menu,Drink,,TBD,live,,dishes.csv
dish,DISH-CHIA-PROTEIN-SMOOTHIE-MR,Chia Protein Smoothie (MR),Menu,Drink,,TBD,live,,dishes.csv
dish,DISH-CHICKEN,Chicken,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-CHICKEN-SANDWICH,Chicken Sandwich,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-FURIKAKE-AVOCADO-TOAST,Furikake Avocado Toast,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-FURIKAKE-TOAST,Furikake Toast,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-MESCLUN,Mesclun,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-MESCLUN-SALAD,Mesclun Salad,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-PANEER,Paneer,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-PROTEIN-CHICKEN-KANJI,Protein Chicken Kanji,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-PROTEIN-MILLET-KANJI,Protein Millet Kanji,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-PROTEIN-MILLET-KANJI-VEG,Protein Millet Kanji (Veg),Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-RAGI-COMBO,Ragi combo,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-TEPACHE,Tepache,Menu,Drink,,TBD,live,,dishes.csv
dish,DISH-VEGAN-CHOCOLATE-CHIPS-ALMOND-OATS-COOKIES,Vegan Chocolate Chips Almond Oats Cookies,Menu,Snack,,TBD,live,,dishes.csv
dish,DISH-YUZU,Yuzu,Menu,Dinner,,TBD,live,,dishes.csv
dish,DISH-YUZU-SALAD,Yuzu Salad,Menu,Lunch,,TBD,live,,dishes.csv
dish,DISH-HERBS-MARINATED-CHICKEN-BREAST,Herbs Marinated Chicken Breast,Protein,Lunch,,TBD,live,,dishes.csv
dish,DISH-PANEER-GRILLED,Paneer grilled,Protein,Lunch,,TBD,live,,dishes.csv
dish,DISH-SOYU-EGG,Soyu egg,Protein,Lunch,,TBD,live,,dishes.csv
dish,DISH-STEAMED-EDAMAME,Steamed Edamame,Protein,Dinner,,TBD,live,,dishes.csv
dish,DISH-CBP-PROTEIN-SMOOTHIE,CBP Protein Smoothie,Protein smoothies,,,TBD,live,,dishes.csv
dish,DISH-CBP-PROTEIN-SMOOTHIE-MR,CBP Protein Smoothie (MR),Protein smoothies,Drink,,TBD,live,,dishes.csv
dish,DISH-CHIA-PB-PROTEIN-SMOOTHIE-MR,Chia PB Protein Smoothie (MR),Protein smoothies,Drink,,TBD,live,,dishes.csv
dish,DISH-CHIA-PEANUT-BUTTER-PROTEIN-SMOOTHIE,Chia Peanut Butter Protein Smoothie,Protein smoothies,,,TBD,live,,dishes.csv
dish,DISH-CHIA-PROTEIN-SMOOTHIE-CHOCOLATE,Chia Protein Smoothie Chocolate,Protein smoothies,,,TBD,live,,dishes.csv
dish,DISH-MESCLUN-QUINOA-SALAD,Mesclun Quinoa Salad,Salads,Lunch,,TBD,live,,dishes.csv
dish,DISH-PULLED-CHICKEN-CAESAR-SALAD,Pulled Chicken Caesar Salad,Salads,Lunch,,TBD,live,,dishes.csv
dish,DISH-YUZU-CORN-SALAD,Yuzu Corn Salad,Salads,Lunch,,TBD,live,,dishes.csv
dish,DISH-FRENCH-ONION-GRILLED-CHEESE,French Onion Grilled Cheese,Sandwich,Lunch,,TBD,live,,dishes.csv
dish,DISH-FURIKAKE-AVOCADO-TOAST-WITH-JAMMY-EGGS,Furikake Avocado Toast with Jammy Eggs,Sandwich,Lunch,,TBD,live,,dishes.csv
