Dish_ID,Dish_Name,Category,Meal_Type,Image_URL,Price,Status
DISH-CUT-FRUITS,Cut fruits,Accompaniments 1,Lunch,,TBD,live
DISH-SHIRAZI-SALAD,Shirazi salad,Accompaniments 1,Dinner,,TBD,live
DISH-ROASTED-SWEET-POTATO,Roasted sweet potato,Accompaniments 2,Lunch,,TBD,live
DISH-CRUNCHY-NUT-MIX,Crunchy Nut mix,Accompaniments 3,Lunch,,TBD,live
DISH-MAPLE-TOGARASHI-SPICED-NUTS,Maple Togarashi Spiced Nuts,Accompaniments 3,Dinner,,TBD,live
DISH-PROTEIN-CHICKEN-COLLAGEN-MILLET-KANJI,Protein Chicken Collagen Millet Kanji,Combos,Lunch,,TBD,live
DISH-PROTEIN-MILLET-KANJI-VEG-ADAPTED,Protein Millet Kanji (Veg Adapted),Combos,Lunch,,TBD,live
DISH-RAGI-JOWAR-CHAPPATHI-COMBO,Ragi Jowar Chappathi combo,Combos,Dinner,,TBD,live
DISH-ABC-SMOOTHIE,ABC Smoothie,Detox smoothies,Drink,,TBD,live
DISH-MINT-PINEAPPLE-SPINACH-SMOOTHIE,Mint Pineapple Spinach Smoothie,Detox smoothies,Drink,,TBD,live
DISH-MINT-SMOOTHIE,Mint Smoothie,Detox smoothies,Drink,,TBD,live
DISH-MONKFRUIT-LEMONADE,Monkfruit lemonade,Detox smoothies,Drink,,TBD,live
DISH-AMLA-TURMERIC-KANJI,Amla Turmeric Kanji,Gut boosters,,,TBD,live
DISH-BEETROOT-CARROT-KANJI,Beetroot Carrot Kanji,Gut boosters,,,TBD,live
DISH-BEETROOT-KANJI,Beetroot Kanji,Gut boosters,Drink,,TBD,live
DISH-MASALA-CHAAS,Masala Chaas,Gut boosters,Drink,,TBD,live
DISH-PINEAPPLE-GUT-BOOSTER-TEPACHE,Pineapple Gut Booster Tepache,Gut boosters,Drink,,TBD,live
DISH-AMLA-KANJI,Amla Kanji,Menu,Drink,,TBD,live
DISH-CHIA-PB-SMOOTHIE-MR,Chia PB Smoothie (MR),Menu,Drink,,TBD,live
DISH-CHIA-PROTEIN-SMOOTHIE-MR,Chia Protein Smoothie (MR),Menu,Drink,,TBD,live
DISH-CHICKEN,Chicken,Menu,Lunch,,TBD,live
DISH-CHICKEN-SANDWICH,Chicken Sandwich,Menu,Lunch,,TBD,live
DISH-FURIKAKE-AVOCADO-TOAST,Furikake Avocado Toast,Menu,Lunch,,TBD,live
DISH-FURIKAKE-TOAST,Furikake Toast,Menu,Lunch,,TBD,live
DISH-MESCLUN,Mesclun,Menu,Lunch,,TBD,live
DISH-MESCLUN-SALAD,Mesclun Salad,Menu,Lunch,,TBD,live
DISH-PANEER,Paneer,Menu,Lunch,,TBD,live
DISH-PROTEIN-CHICKEN-KANJI,Protein Chicken Kanji,Menu,Lunch,,TBD,live
DISH-PROTEIN-MILLET-KANJI,Protein Millet Kanji,Menu,Lunch,,TBD,live
DISH-PROTEIN-MILLET-KANJI-VEG,Protein Millet Kanji (Veg),Menu,Lunch,,TBD,live
DISH-RAGI-COMBO,Ragi combo,Menu,Lunch,,TBD,live
DISH-TEPACHE,Tepache,Menu,Drink,,TBD,live
DISH-VEGAN-CHOCOLATE-CHIPS-ALMOND-OATS-COOKIES,Vegan Chocolate Chips Almond Oats Cookies,Menu,Snack,,TBD,live
DISH-YUZU,Yuzu,Menu,Dinner,,TBD,live
DISH-YUZU-SALAD,Yuzu Salad,Menu,Lunch,,TBD,live
DISH-HERBS-MARINATED-CHICKEN-BREAST,Herbs Marinated Chicken Breast,Protein,Lunch,,TBD,live
DISH-PANEER-GRILLED,Paneer grilled,Protein,Lunch,,TBD,live
DISH-SOYU-EGG,Soyu egg,Protein,Lunch,,TBD,live
DISH-STEAMED-EDAMAME,Steamed Edamame,Protein,Dinner,,TBD,live
DISH-CBP-PROTEIN-SMOOTHIE,CBP Protein Smoothie,Protein smoothies,,,TBD,live
DISH-CBP-PROTEIN-SMOOTHIE-MR,CBP Protein Smoothie (MR),Protein smoothies,Drink,,TBD,live
DISH-CHIA-PB-PROTEIN-SMOOTHIE-MR,Chia PB Protein Smoothie (MR),Protein smoothies,Drink,,TBD,live
DISH-CHIA-PEANUT-BUTTER-PROTEIN-SMOOTHIE,Chia Peanut Butter Protein Smoothie,Protein smoothies,,,TBD,live
DISH-CHIA-PROTEIN-SMOOTHIE-CHOCOLATE,Chia Protein Smoothie Chocolate,Protein smoothies,,,TBD,live
DISH-MESCLUN-QUINOA-SALAD,Mesclun Quinoa Salad,Salads,Lunch,,TBD,live
DISH-PULLED-CHICKEN-CAESAR-SALAD,Pulled Chicken Caesar Salad,Salads,Lunch,,TBD,live
DISH-YUZU-CORN-SALAD,Yuzu Corn Salad,Salads,Lunch,,TBD,live
DISH-FRENCH-ONION-GRILLED-CHEESE,French Onion Grilled Cheese,Sandwich,Lunch,,TBD,live
DISH-FURIKAKE-AVOCADO-TOAST-WITH-JAMMY-EGGS,Furikake Avocado Toast with Jammy Eggs,Sandwich,Lunch,,TBD,live
DISH-SOUR-DOUGH-GRILLED-CHICKEN-AND-AVOCADO-SANDWICH,Sour Dough Grilled Chicken and Avocado Sandwich,Sandwich,Lunch,,TBD,live
DISH-CHOCOLATE-CHIPS-OATS-COOKIES,Chocolate Chips Oats Cookies,Snacks,Snack,,TBD,live
DISH-GREEK-YOGURT-GRANOLA-BOWL,Greek Yogurt Granola Bowl,Snacks,Snack,,TBD,live
DISH-PEANUT-BUTTER-AND-BANANA-TOAST,Peanut butter and banana toast,Snacks,Snack,,TBD,live
DISH-PROTEIN-PEANUT-BUTTER-BROWNIE,Protein Peanut Butter Brownie,Snacks,Snack,,TBD,live
DISH-RAGI-COLLAGEN-CHICKEN-SOUP,Ragi collagen chicken soup,Soup,Dinner,,TBD,live
DISH-VEGETABLE-MILLET-BROTH,Vegetable millet broth,Soup,Dinner,,TBD,live
