Plan_Key,Plan_Name,Variant_Key,Variant_Name,Week,Day,Day_Order,Meal_Type,Component,Item_Name,Original_Entry
basic,Basic Plan,nonveg,Non-Veg,W1,Monday,1,Dinner,Main,Ragi collagen chicken soup,Ragi collagen chicken soup
basic,Basic Plan,nonveg,Non-Veg,W1,Monday,1,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W1,Monday,1,Lunch,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W1,Monday,1,Lunch,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W1,Tuesday,2,Dinner,Main,Vegetable millet broth,Vegetable millet broth
basic,Basic Plan,nonveg,Non-Veg,W1,Tuesday,2,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W1,Tuesday,2,Lunch,Main,Sour Dough Grilled Chicken and Avocado Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
basic,Basic Plan,nonveg,Non-Veg,W1,Tuesday,2,Lunch,Protein,Herbs Marinated Chicken Breast,Herbs Marinated Chicken Breast
basic,Basic Plan,nonveg,Non-Veg,W1,Wednesday,3,Dinner,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W1,Wednesday,3,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W1,Wednesday,3,Lunch,Main,Pulled Chicken Caesar Salad,Pulled Chicken Caesar Salad
basic,Basic Plan,nonveg,Non-Veg,W1,Thursday,4,Dinner,Main,Yuzu Corn Salad,Yuzu Corn Salad
basic,Basic Plan,nonveg,Non-Veg,W1,Thursday,4,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W1,Thursday,4,Lunch,Main,Furikake Avocado Toast with Jammy Eggs,Furikake Avocado Toast with Jammy Eggs
basic,Basic Plan,nonveg,Non-Veg,W1,Thursday,4,Lunch,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W1,Friday,5,Dinner,Main,Ragi Jowar Chappathi combo,Ragi Jowar Chappathi combo
basic,Basic Plan,nonveg,Non-Veg,W1,Friday,5,Lunch,Main,Protein Chicken Collagen Millet Kanji,Protein Chicken Collagen Millet Kanji
basic,Basic Plan,nonveg,Non-Veg,W1,Saturday,6,Dinner,Main,Protein Chicken Collagen Millet Kanji,Protein Chicken Collagen Millet Kanji
basic,Basic Plan,nonveg,Non-Veg,W1,Saturday,6,Lunch,Main,Sour Dough Grilled Chicken and Avocado Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
basic,Basic Plan,nonveg,Non-Veg,W1,Saturday,6,Lunch,Protein,Herbs Marinated Chicken Breast,Herbs Marinated Chicken Breast
basic,Basic Plan,nonveg,Non-Veg,W2,Monday,1,Dinner,Main,Ragi collagen chicken soup,Ragi collagen chicken soup
basic,Basic Plan,nonveg,Non-Veg,W2,Monday,1,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W2,Monday,1,Lunch,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W2,Monday,1,Lunch,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W2,Tuesday,2,Dinner,Main,Vegetable millet broth,Vegetable millet broth
basic,Basic Plan,nonveg,Non-Veg,W2,Tuesday,2,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W2,Tuesday,2,Lunch,Main,Sour Dough Grilled Chicken and Avocado Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
basic,Basic Plan,nonveg,Non-Veg,W2,Tuesday,2,Lunch,Protein,Herbs Marinated Chicken Breast,Herbs Marinated Chicken Breast
basic,Basic Plan,nonveg,Non-Veg,W2,Wednesday,3,Dinner,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W2,Wednesday,3,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W2,Wednesday,3,Lunch,Main,Pulled Chicken Caesar Salad,Pulled Chicken Caesar Salad
basic,Basic Plan,nonveg,Non-Veg,W2,Thursday,4,Dinner,Main,Yuzu Corn Salad,Yuzu Corn Salad
basic,Basic Plan,nonveg,Non-Veg,W2,Thursday,4,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W2,Thursday,4,Lunch,Main,Furikake Avocado Toast with Jammy Eggs,Furikake Avocado Toast with Jammy Eggs
basic,Basic Plan,nonveg,Non-Veg,W2,Thursday,4,Lunch,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W2,Friday,5,Dinner,Main,Ragi Jowar Chappathi combo,Ragi Jowar Chappathi combo
basic,Basic Plan,nonveg,Non-Veg,W2,Friday,5,Lunch,Main,Protein Chicken Collagen Millet Kanji,Protein Chicken Collagen Millet Kanji
basic,Basic Plan,nonveg,Non-Veg,W2,Saturday,6,Dinner,Main,Protein Chicken Collagen Millet Kanji,Protein Chicken Collagen Millet Kanji
basic,Basic Plan,nonveg,Non-Veg,W2,Saturday,6,Lunch,Main,Sour Dough Grilled Chicken and Avocado Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
basic,Basic Plan,nonveg,Non-Veg,W2,Saturday,6,Lunch,Protein,Herbs Marinated Chicken Breast,Herbs Marinated Chicken Breast
basic,Basic Plan,nonveg,Non-Veg,W3,Monday,1,Dinner,Main,Ragi collagen chicken soup,Ragi collagen chicken soup
basic,Basic Plan,nonveg,Non-Veg,W3,Monday,1,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W3,Monday,1,Lunch,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W3,Monday,1,Lunch,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W3,Tuesday,2,Dinner,Main,Vegetable millet broth,Vegetable millet broth
basic,Basic Plan,nonveg,Non-Veg,W3,Tuesday,2,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W3,Tuesday,2,Lunch,Main,Sour Dough Grilled Chicken and Avocado Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
basic,Basic Plan,nonveg,Non-Veg,W3,Tuesday,2,Lunch,Protein,Herbs Marinated Chicken Breast,Herbs Marinated Chicken Breast
basic,Basic Plan,nonveg,Non-Veg,W3,Wednesday,3,Dinner,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W3,Wednesday,3,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W3,Wednesday,3,Lunch,Main,Pulled Chicken Caesar Salad,Pulled Chicken Caesar Salad
basic,Basic Plan,nonveg,Non-Veg,W3,Thursday,4,Dinner,Main,Yuzu Corn Salad,Yuzu Corn Salad
basic,Basic Plan,nonveg,Non-Veg,W3,Thursday,4,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W3,Thursday,4,Lunch,Main,Furikake Avocado Toast with Jammy Eggs,Furikake Avocado Toast with Jammy Eggs
basic,Basic Plan,nonveg,Non-Veg,W3,Thursday,4,Lunch,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W3,Friday,5,Dinner,Main,Ragi Jowar Chappathi combo,Ragi Jowar Chappathi combo
basic,Basic Plan,nonveg,Non-Veg,W3,Friday,5,Lunch,Main,Protein Chicken Collagen Millet Kanji,Protein Chicken Collagen Millet Kanji
basic,Basic Plan,nonveg,Non-Veg,W3,Saturday,6,Dinner,Main,Protein Chicken Collagen Millet Kanji,Protein Chicken Collagen Millet Kanji
basic,Basic Plan,nonveg,Non-Veg,W3,Saturday,6,Lunch,Main,Sour Dough Grilled Chicken and Avocado Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
basic,Basic Plan,nonveg,Non-Veg,W3,Saturday,6,Lunch,Protein,Herbs Marinated Chicken Breast,Herbs Marinated Chicken Breast
basic,Basic Plan,nonveg,Non-Veg,W4,Monday,1,Dinner,Main,Ragi collagen chicken soup,Ragi collagen chicken soup
basic,Basic Plan,nonveg,Non-Veg,W4,Monday,1,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W4,Monday,1,Lunch,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W4,Monday,1,Lunch,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W4,Tuesday,2,Dinner,Main,Vegetable millet broth,Vegetable millet broth
basic,Basic Plan,nonveg,Non-Veg,W4,Tuesday,2,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W4,Tuesday,2,Lunch,Main,Sour Dough Grilled Chicken and Avocado Sandwich,Sour Dough Grilled Chicken and Avocado Sandwich
basic,Basic Plan,nonveg,Non-Veg,W4,Tuesday,2,Lunch,Protein,Herbs Marinated Chicken Breast,Herbs Marinated Chicken Breast
basic,Basic Plan,nonveg,Non-Veg,W4,Wednesday,3,Dinner,Main,Mesclun Quinoa Salad,Mesclun Quinoa Salad
basic,Basic Plan,nonveg,Non-Veg,W4,Wednesday,3,Dinner,Protein,Soyu egg,Soyu egg
basic,Basic Plan,nonveg,Non-Veg,W4,Wednesday,3,Lunch,Main,Pulled Chicken Caesar Salad,Pulled Chicken Caesar Salad
