Dish_ID,Dish_Name,Category,Price,Status,Active
DISH-CUT-FRUITS,Cut fruits,Accompaniments 1,TBD,live,Yes
DISH-SHIRAZI-SALAD,Shirazi salad,Accompaniments 1,TBD,live,Yes
DISH-ROASTED-SWEET-POTATO,Roasted sweet potato,Accompaniments 2,TBD,live,Yes
DISH-CRUNCHY-NUT-MIX,Crunchy Nut mix,Accompaniments 3,TBD,live,Yes
DISH-MAPLE-TOGARASHI-SPICED-NUTS,Maple Togarashi Spiced Nuts,Accompaniments 3,TBD,live,Yes
DISH-PROTEIN-CHICKEN-COLLAGEN-MILLET-KANJI,Protein Chicken Collagen Millet Kanji,Combos,TBD,live,Yes
DISH-PROTEIN-MILLET-KANJI-VEG-ADAPTED,Protein Millet Kanji (Veg Adapted),Combos,TBD,live,Yes
DISH-RAGI-JOWAR-CHAPPATHI-COMBO,Ragi Jowar Chappathi combo,Combos,TBD,live,Yes
DISH-ABC-SMOOTHIE,ABC Smoothie,Detox smoothies,TBD,live,Yes
DISH-MINT-PINEAPPLE-SPINACH-SMOOTHIE,Mint Pineapple Spinach Smoothie,Detox smoothies,TBD,live,Yes
DISH-MINT-SMOOTHIE,Mint Smoothie,Detox smoothies,TBD,live,Yes
DISH-MONKFRUIT-LEMONADE,Monkfruit lemonade,Detox smoothies,TBD,live,Yes
DISH-AMLA-TURMERIC-KANJI,Amla Turmeric Kanji,Gut boosters,TBD,live,Yes
DISH-BEETROOT-CARROT-KANJI,Beetroot Carrot Kanji,Gut boosters,TBD,live,Yes
DISH-BEETROOT-KANJI,Beetroot Kanji,Gut boosters,TBD,live,Yes
DISH-MASALA-CHAAS,Masala Chaas,Gut boosters,TBD,live,Yes
DISH-PINEAPPLE-GUT-BOOSTER-TEPACHE,Pineapple Gut Booster Tepache,Gut boosters,TBD,live,Yes
DISH-AMLA-KANJI,Amla Kanji,Menu,TBD,live,Yes
DISH-CHIA-PB-SMOOTHIE-MR,Chia PB Smoothie (MR),Menu,TBD,live,Yes
DISH-CHIA-PROTEIN-SMOOTHIE-MR,Chia Protein Smoothie (MR),Menu,TBD,live,Yes
DISH-CHICKEN,Chicken,Menu,TBD,live,Yes
DISH-CHICKEN-SANDWICH,Chicken Sandwich,Menu,TBD,live,Yes
DISH-FURIKAKE-AVOCADO-TOAST,Furikake Avocado Toast,Menu,TBD,live,Yes
DISH-FURIKAKE-TOAST,Furikake Toast,Menu,TBD,live,Yes
DISH-MESCLUN,Mesclun,Menu,TBD,live,Yes
DISH-MESCLUN-SALAD,Mesclun Salad,Menu,TBD,live,Yes
DISH-PANEER,Paneer,Menu,TBD,live,Yes
DISH-PROTEIN-CHICKEN-KANJI,Protein Chicken Kanji,Menu,TBD,live,Yes
DISH-PROTEIN-MILLET-KANJI,Protein Millet Kanji,Menu,TBD,live,Yes
DISH-PROTEIN-MILLET-KANJI-VEG,Protein Millet Kanji (Veg),Menu,TBD,live,Yes
DISH-RAGI-COMBO,Ragi combo,Menu,TBD,live,Yes
DISH-TEPACHE,Tepache,Menu,TBD,live,Yes
DISH-VEGAN-CHOCOLATE-CHIPS-ALMOND-OATS-COOKIES,Vegan Chocolate Chips Almond Oats Cookies,Menu,TBD,live,Yes
DISH-YUZU,Yuzu,Menu,TBD,live,Yes
DISH-YUZU-SALAD,Yuzu Salad,Menu,TBD,live,Yes
DISH-HERBS-MARINATED-CHICKEN-BREAST,Herbs Marinated Chicken Breast,Protein,TBD,live,Yes
DISH-PANEER-GRILLED,Paneer grilled,Protein,TBD,live,Yes
DISH-SOYU-EGG,Soyu egg,Protein,TBD,live,Yes
DISH-STEAMED-EDAMAME,Steamed Edamame,Protein,TBD,live,Yes
DISH-CBP-PROTEIN-SMOOTHIE,CBP Protein Smoothie,Protein smoothies,TBD,live,Yes
DISH-CBP-PROTEIN-SMOOTHIE-MR,CBP Protein Smoothie (MR),Protein smoothies,TBD,live,Yes
DISH-CHIA-PB-PROTEIN-SMOOTHIE-MR,Chia PB Protein Smoothie (MR),Protein smoothies,TBD,live,Yes
DISH-CHIA-PEANUT-BUTTER-PROTEIN-SMOOTHIE,Chia Peanut Butter Protein Smoothie,Protein smoothies,TBD,live,Yes
DISH-CHIA-PROTEIN-SMOOTHIE-CHOCOLATE,Chia Protein Smoothie Chocolate,Protein smoothies,TBD,live,Yes
DISH-MESCLUN-QUINOA-SALAD,Mesclun Quinoa Salad,Salads,TBD,live,Yes
DISH-PULLED-CHICKEN-CAESAR-SALAD,Pulled Chicken Caesar Salad,Salads,TBD,live,Yes
DISH-YUZU-CORN-SALAD,Yuzu Corn Salad,Salads,TBD,live,Yes
DISH-FRENCH-ONION-GRILLED-CHEESE,French Onion Grilled Cheese,Sandwich,TBD,live,Yes
DISH-FURIKAKE-AVOCADO-TOAST-WITH-JAMMY-EGGS,Furikake Avocado Toast with Jammy Eggs,Sandwich,TBD,live,Yes
