Week,Day,Lunch Main,Lunch Protein,Dinner Main,Dinner Protein
Week 1,Mon,Mesclun Quinoa Salad,Soyu egg,Ragi collagen chicken soup,Soyu egg
Week 1,Tue,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Vegetable millet broth,Soyu egg
Week 1,Wed,Pulled Chicken Caesar Salad,,Mesclun Quinoa Salad,Soyu egg
Week 1,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Yuzu Corn Salad,Soyu egg
Week 1,Fri,Protein Chicken Collagen Millet Kanji,,Ragi Jowar Chappathi combo,
Week 1,Sat,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Protein Chicken Collagen Millet Kanji,
Week 2,Mon,Mesclun Quinoa Salad,Soyu egg,Ragi collagen chicken soup,Soyu egg
Week 2,Tue,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Vegetable millet broth,Soyu egg
Week 2,Wed,Pulled Chicken Caesar Salad,,Mesclun Quinoa Salad,Soyu egg
Week 2,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Yuzu Corn Salad,Soyu egg
Week 2,Fri,Protein Chicken Collagen Millet Kanji,,Ragi Jowar Chappathi combo,
Week 2,Sat,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Protein Chicken Collagen Millet Kanji,
Week 3,Mon,Mesclun Quinoa Salad,Soyu egg,Ragi collagen chicken soup,Soyu egg
Week 3,Tue,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Vegetable millet broth,Soyu egg
Week 3,Wed,Pulled Chicken Caesar Salad,,Mesclun Quinoa Salad,Soyu egg
Week 3,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Yuzu Corn Salad,Soyu egg
Week 3,Fri,Protein Chicken Collagen Millet Kanji,,Ragi Jowar Chappathi combo,
Week 3,Sat,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Protein Chicken Collagen Millet Kanji,
Week 4,Mon,Mesclun Quinoa Salad,Soyu egg,Ragi collagen chicken soup,Soyu egg
Week 4,Tue,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Vegetable millet broth,Soyu egg
Week 4,Wed,Pulled Chicken Caesar Salad,,Mesclun Quinoa Salad,Soyu egg
Week 4,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Yuzu Corn Salad,Soyu egg
Week 4,Fri,Protein Chicken Collagen Millet Kanji,,Ragi Jowar Chappathi combo,
Week 4,Sat,Sour Dough Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Protein Chicken Collagen Millet Kanji,
