Week,Day,Lunch Main,Lunch Protein,Dinner Main,Dinner Protein
Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,Vegetable millet broth,Soyu egg
Week 1,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 1,Wed,French Onion Grilled Cheese,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 1,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Vegetable millet broth,Paneer grilled
Week 1,Fri,Ragi Jowar Chappathi combo,,Ragi Jowar Chappathi combo,
Week 1,Sat,Mesclun Quinoa Salad,Soyu egg,Yuzu Corn Salad,Paneer grilled
Week 2,Mon,Mesclun Quinoa Salad,Paneer grilled,Vegetable millet broth,Soyu egg
Week 2,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 2,Wed,French Onion Grilled Cheese,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 2,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Vegetable millet broth,Paneer grilled
Week 2,Fri,Ragi Jowar Chappathi combo,,Ragi Jowar Chappathi combo,
Week 2,Sat,Mesclun Quinoa Salad,Soyu egg,Yuzu Corn Salad,Paneer grilled
Week 3,Mon,Mesclun Quinoa Salad,Paneer grilled,Vegetable millet broth,Soyu egg
Week 3,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 3,Wed,French Onion Grilled Cheese,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 3,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Vegetable millet broth,Paneer grilled
Week 3,Fri,Ragi Jowar Chappathi combo,,Ragi Jowar Chappathi combo,
Week 3,Sat,Mesclun Quinoa Salad,Soyu egg,Yuzu Corn Salad,Paneer grilled
Week 4,Mon,Mesclun Quinoa Salad,Paneer grilled,Vegetable millet broth,Soyu egg
Week 4,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 4,Wed,French Onion Grilled Cheese,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 4,Thu,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Vegetable millet broth,Paneer grilled
Week 4,Fri,Ragi Jowar Chappathi combo,,Ragi Jowar Chappathi combo,
Week 4,Sat,Mesclun Quinoa Salad,Soyu egg,Yuzu Corn Salad,Paneer grilled
