Week,Day,Meal Type,Main,Protein,Accomp 1,Accomp 2,Accomp 3
W1,Mon,Lunch,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W1,Mon,Snack,Peanut butter and banana toast,,,,
W1,Mon,Drink,ABC Smoothie,,,,
W1,Mon,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W1,Tue,Lunch,French Onion Grilled Cheese,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W1,Tue,Snack,Chocolate Chips Oats Cookies,,,,
W1,Tue,Drink,Mint Pineapple Spinach Smoothie,,,,
W1,Tue,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W1,Wed,Lunch,Yuzu Corn Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W1,Wed,Snack,Greek Yogurt Granola Bowl,,,,
W1,Wed,Drink,Monkfruit lemonade,,,,
W1,Wed,Dinner,Ragi Jowar Chappathi combo,,,,
W1,Thu,Lunch,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W1,Thu,Snack,Protein Peanut Butter Brownie,,,,
W1,Thu,Drink,Masala Chaas,,,,
W1,Thu,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W1,Fri,Lunch,Ragi Jowar Chappathi combo,,,,
W1,Fri,Snack,Vegan Chocolate Chips Almond Oats Cookies,,,,
W1,Fri,Drink,Pineapple Gut Booster Tepache,,,,
W1,Fri,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W1,Sat,Lunch,Mesclun Quinoa Salad,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W1,Sat,Snack,Peanut butter and banana toast,,,,
W1,Sat,Drink,ABC Smoothie,,,,
W1,Sat,Dinner,Ragi Jowar Chappathi combo,,,,
W2,Mon,Lunch,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W2,Mon,Snack,Peanut butter and banana toast,,,,
W2,Mon,Drink,ABC Smoothie,,,,
W2,Mon,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W2,Tue,Lunch,French Onion Grilled Cheese,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W2,Tue,Snack,Chocolate Chips Oats Cookies,,,,
W2,Tue,Drink,Mint Pineapple Spinach Smoothie,,,,
W2,Tue,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W2,Wed,Lunch,Yuzu Corn Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W2,Wed,Snack,Greek Yogurt Granola Bowl,,,,
W2,Wed,Drink,Monkfruit lemonade,,,,
W2,Wed,Dinner,Ragi Jowar Chappathi combo,,,,
W2,Thu,Lunch,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W2,Thu,Snack,Protein Peanut Butter Brownie,,,,
W2,Thu,Drink,Masala Chaas,,,,
W2,Thu,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W2,Fri,Lunch,Ragi Jowar Chappathi combo,,,,
W2,Fri,Snack,Vegan Chocolate Chips Almond Oats Cookies,,,,
W2,Fri,Drink,Pineapple Gut Booster Tepache,,,,
W2,Fri,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W2,Sat,Lunch,Mesclun Quinoa Salad,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W2,Sat,Snack,Peanut butter and banana toast,,,,
W2,Sat,Drink,ABC Smoothie,,,,
W2,Sat,Dinner,Ragi Jowar Chappathi combo,,,,
W3,Mon,Lunch,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W3,Mon,Snack,Peanut butter and banana toast,,,,
W3,Mon,Drink,ABC Smoothie,,,,
W3,Mon,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W3,Tue,Lunch,French Onion Grilled Cheese,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W3,Tue,Snack,Chocolate Chips Oats Cookies,,,,
W3,Tue,Drink,Mint Pineapple Spinach Smoothie,,,,
W3,Tue,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W3,Wed,Lunch,Yuzu Corn Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W3,Wed,Snack,Greek Yogurt Granola Bowl,,,,
W3,Wed,Drink,Monkfruit lemonade,,,,
W3,Wed,Dinner,Ragi Jowar Chappathi combo,,,,
W3,Thu,Lunch,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W3,Thu,Snack,Protein Peanut Butter Brownie,,,,
W3,Thu,Drink,Masala Chaas,,,,
W3,Thu,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W3,Fri,Lunch,Ragi Jowar Chappathi combo,,,,
W3,Fri,Snack,Vegan Chocolate Chips Almond Oats Cookies,,,,
W3,Fri,Drink,Pineapple Gut Booster Tepache,,,,
W3,Fri,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W3,Sat,Lunch,Mesclun Quinoa Salad,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W3,Sat,Snack,Peanut butter and banana toast,,,,
W3,Sat,Drink,ABC Smoothie,,,,
W3,Sat,Dinner,Ragi Jowar Chappathi combo,,,,
W4,Mon,Lunch,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W4,Mon,Snack,Peanut butter and banana toast,,,,
