Week,Day,Lunch Salad,Lunch Protein,Dinner Salad,Dinner Protein
Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 1,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 1,Wed,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 1,Thu,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 1,Fri,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 1,Sat,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 2,Mon,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 2,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 2,Wed,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 2,Thu,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 2,Fri,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 2,Sat,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 3,Mon,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 3,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 3,Wed,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 3,Thu,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 3,Fri,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 3,Sat,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 4,Mon,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 4,Tue,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 4,Wed,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 4,Thu,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
Week 4,Fri,Mesclun Quinoa Salad,Paneer grilled,Yuzu Corn Salad,Soyu egg
Week 4,Sat,Yuzu Corn Salad,Soyu egg,Mesclun Quinoa Salad,Paneer grilled
