Week,Day,Lunch,Drink,Dinner
Week 1,Mon,Mesclun Quinoa Salad + Paneer,ABC Smoothie,Vegetable millet broth + Soyu egg
Week 1,Tue,Yuzu Corn Salad + Paneer,Mint Smoothie,Vegetable millet broth + Paneer
Week 1,Wed,Protein Millet Kanji (Veg Adapted),CBP Protein Smoothie (MR),Mesclun Quinoa Salad + Soyu egg
Week 1,Thu,Furikake Avocado Toast + Soyu egg,Masala Chaas,Vegetable millet broth + Paneer
Week 1,Fri,Yuzu Corn Salad + Soyu egg,Monkfruit lemonade,Mesclun Quinoa Salad + Paneer
Week 1,Sat,Ragi Jowar Chappathi combo,Chia PB Protein Smoothie (MR),Vegetable millet broth + Soyu egg
Week 2,Mon,Mesclun Salad + Paneer,Beetroot Kanji,Vegetable millet broth + Soyu egg
Week 2,Tue,Yuzu Salad + Soyu egg,ABC Smoothie,Vegetable millet broth + Paneer
Week 2,Wed,Protein Millet Kanji (Veg),Chia Protein Smoothie (MR),Mesclun Salad + Paneer
Week 2,Thu,Mesclun Salad + Soyu egg,Mint Smoothie,Yuzu Salad + Paneer
Week 2,Fri,Furikake Toast + Soyu egg,Tepache,Vegetable millet broth + Soyu egg
Week 2,Sat,Ragi combo,CBP Protein Smoothie (MR),Mesclun Salad + Soyu egg
Week 3,Mon,Yuzu Salad + Paneer,Amla Kanji,Vegetable millet broth + Soyu egg
Week 3,Tue,Mesclun + Paneer,ABC Smoothie,Vegetable millet broth + Paneer
Week 3,Wed,Mesclun Salad + Soyu egg,Mint Smoothie,Mesclun + Paneer
Week 3,Thu,Protein Millet Kanji (Veg),Chia PB Smoothie (MR),Yuzu + Soyu egg
Week 3,Fri,Furikake Toast,Masala Chaas,Vegetable millet broth + Paneer
Week 3,Sat,Ragi combo,Chia Protein Smoothie (MR),Mesclun + Soyu egg
Week 4,Mon,Mesclun + Paneer,ABC Smoothie,Vegetable millet broth + Soyu egg
Week 4,Tue,Yuzu Salad,Tepache,Vegetable millet broth + Paneer
Week 4,Wed,Protein Millet Kanji,CBP Protein Smoothie (MR),Yuzu + Paneer
Week 4,Thu,Furikake Toast,Mint Smoothie,Mesclun + Soyu egg
Week 4,Fri,Yuzu + Soyu egg,Amla Kanji,Vegetable millet broth + Paneer
Week 4,Sat,Ragi combo,Chia PB Smoothie (MR),Vegetable millet broth + Soyu egg
