record_type,id,name,category,meal_type,image_url,price,status,Calories,Protein,Carbohydrates,Fats,Fiber,billing_mode,Actual name
addon,DISH001,ABC Smoothie,Drink,,assets/dishes/Picture31.png,199,live,140,22.48,7.13,10,1.31,,
addon,DISH002,Amla Turmeric Kanji,Drink,,,69,live,160,5.04,25,7.45,5.92,,
dish,DISH003,Basic Healthy Pizza Dough,,,,79,hidden,520,14.39,87.65,15.13,12.18,,
addon,DISH004,Beetroot Carrot Kanji,Drink,,assets/dishes/Picture17.png,69,live,730,14,75,42,10,,
addon,DISH005,CBP Protein Smoothie,Drink,,assets/dishes/Picture27.png,249,live,420,16,39,22,6,,
addon,DISH006,Chia Monkfruit Mango Pudding,Dessert,,assets/dishes/Picture2.png,249,live,70.14,2.03,5.04,5.21,0.91,,
addon,DISH007,Chia Peanut Butter Protein Smoothie,Drink,,assets/dishes/Picture28.png,249,live,1179.56,51.59,65.57,86.49,11.39,,
addon,DISH008,Chia Protein Smoothie Chocolate,Drink,,assets/dishes/Picture28.png,199,live,217.9,11,30,6.62,6,,
addon,DISH033,Chicken curry,Addon,,,99,live,33.9,3.44,2.55,1.38,1.3,,
addon,DISH009,Chocolate Chips Oats Cookies,Snacks,,assets/dishes/Picture14.png,199,live,512.04,21.33,42.47,28.44,6.03,,
dish,DISH028,Coconut Sambol,Addon,,,9,live,700,13,75,40,10,,
addon,DISH053,Crunchy Nut mix,Snacks,,,49,live,83.66,3.28,3.15,7.2,1.46,,
dish,DISH052,Crunchy Nut mix-Main,Snacks,,,299,live,836.63,32.77,31.5,71.98,14.6,,
addon,DISH036,Cucumber Raita,Addon,,,29,live,701.37,20.26,50.43,52.1,9.1,,
addon,DISH056,Cut fruits,Addon,,,49,live,169.52,17.18,12.73,6.9,6.49,,
dish,DISH010,French Onion Grilled Cheese,,,,199,hidden,400,24.07,33,25,10,,
dish,DISH054,Furikake Avocado Toast,Sandwich,,,299,live,420,16.76,67.8,21.56,10.22,,
dish,DISH011,Furikake Avocado Toast with Jammy Eggs,Sandwich,,assets/dishes/Picture16.png,299,live,611.17,18.16,74.49,29.4,19.32,,
addon,DISH012,Greek Yogurt Granola Bowl,Snacks,,assets/dishes/Picture18.png,349,live,340,32,30,10,4,,
dish,DISH058,Grilled Chicken and Avocado Sandwich,Sandwich,,,299,live,450,34.03,32,24,8,,
dish,DISH013,Herbs Marinated Chicken Breast,Addon,,,149,live,351.94,22,30,18,5,,
dish,DISH057,Herbs Marinated Chicken Breast-Main,,,,349,hidden,420,12,43.5,25,8,,
dish,DISH051,Lemonade Salt,Drink,,,49,live,782.42,39.25,80.57,37.89,12.68,,
addon,DISH015,Maple Togarashi Spiced Nuts,Snacks,,assets/dishes/Picture13.png,49,live,824.25,23.46,160.69,10.99,14.28,,
dish,DISH014,Maple Togarashi Spiced Nuts-Main,Snacks,,assets/dishes/Picture13.png,349,live,585.42,43.62,16.55,36,4,,
addon,DISH016,Masala Chaas,Drink,,,99,live,300,6,36,17,6,,
dish,DISH017,Mesclun Quinoa Salad,Salad,,assets/dishes/Picture7.png,299,live,90.48,3.04,14.01,3.97,3.59,,
dish,DISH044,Mesclun Quinoa Salad dressing,Sub-ingredient,,,,hidden,102.94,2.18,24.37,0.73,5.25,,
dish,DISH043,Mesclun Quinoa Salad mix,Sub-ingredient,,,,hidden,7,0,1,0,0,,
dish,DISH018,Mint Pineapple Spinach Smoothie,Drink,,assets/dishes/Picture26.png,159,live,17,0,3,0.2,0,,
dish,DISH030,Mixed vegetable thoran,Addon,,,19,live,253.27,27.98,9.56,13.14,5.84,,
dish,DISH049,Monkfruit Lemonade,Drink,,,69,live,306.38,30.27,27.68,10.86,8.22,,
dish,DISH029,Omlet,Addon,,,25,live,177.43,11.36,15.93,8.5,0.87,,
